product_category_name_english,business_category
bed_bath_table,home
furniture_decor,home
furniture_bedroom,home
furniture_living_room,home
furniture_mattress_and_upholstery,home
home_confort,home
home_comfort_2,home
home_appliances,home
home_appliances_2,home
housewares,home
kitchen_dining_laundry_garden_furniture,home
la_cuisine,home
computers_accessories,electronics
electronics,electronics
telephony,electronics
fixed_telephony,electronics
audio,electronics
tablets_printing_image,electronics
computers,electronics
pc_gamer,electronics
consoles_games,electronics
fashion_bags_accessories,fashion
fashion_shoes,fashion
fashion_underwear_beach,fashion
fashion_sport,fashion
fashion_childrens_clothes,fashion
fashion_male_clothing,fashion
fashio_female_clothing,fashion
health_beauty,beauty
perfumery,beauty
food,food
food_drink,food
drinks,food
books_general_interest,books
books_technical,books
books_imported,books
sports_leisure,sports
auto,automotive
health,health
toys,toys
baby,kids
diapers_and_hygiene,kids
office_furniture,office
stationery,office
construction_tools_construction,construction
construction_tools_lights,construction
construction_tools_safety,construction
home_construction,construction
costruction_tools_garden,construction
costruction_tools_tools,construction
garden_tools,garden
pet_shop,pet
musical_instruments,music
music,music
cds_dvds_musicals,music
cool_stuff,gifts
market_place,other
signaling_and_security,other
security_and_services,other
small_appliances,home
small_appliances_home_oven_and_coffee,home
christmas_supplies,other
luggage_accessories,fashion
dvds_blu_ray,other
cine_photo,other
art,other
arts,other
arts_and_craftmanship,other
flowers,other
party_supplies,other
agro_industry_and_commerce,other
air_conditioning,home
industry_commerce_and_business,other
portateis_cozinha_e_preparadores_de_alimentos,other
watches_gifts,gifts
unknown,other
no_translation,other
