fx_month,base_currency,target_currency,fx_rate,source_note
2016-09-01,BRL,USD,0.30709028,Banco Central do Brasil PTAX monthly average closing sell rate; source quote BRL per USD inverted to BRL-to-USD
2016-09-01,BRL,EUR,0.27382578,Banco Central do Brasil PTAX monthly average closing sell rate; source quote BRL per EUR inverted to BRL-to-EUR
2016-10-01,BRL,USD,0.31388847,Banco Central do Brasil PTAX monthly average closing sell rate; source quote BRL per USD inverted to BRL-to-USD
2016-10-01,BRL,EUR,0.28484997,Banco Central do Brasil PTAX monthly average closing sell rate; source quote BRL per EUR inverted to BRL-to-EUR
2016-11-01,BRL,USD,0.29921934,Banco Central do Brasil PTAX monthly average closing sell rate; source quote BRL per USD inverted to BRL-to-USD
2016-11-01,BRL,EUR,0.27777585,Banco Central do Brasil PTAX monthly average closing sell rate; source quote BRL per EUR inverted to BRL-to-EUR
2016-12-01,BRL,USD,0.29830549,Banco Central do Brasil PTAX monthly average closing sell rate; source quote BRL per USD inverted to BRL-to-USD
2016-12-01,BRL,EUR,0.28301863,Banco Central do Brasil PTAX monthly average closing sell rate; source quote BRL per EUR inverted to BRL-to-EUR
2017-01-01,BRL,USD,0.31283149,Banco Central do Brasil PTAX monthly average closing sell rate; source quote BRL per USD inverted to BRL-to-USD
2017-01-01,BRL,EUR,0.29459972,Banco Central do Brasil PTAX monthly average closing sell rate; source quote BRL per EUR inverted to BRL-to-EUR
2017-02-01,BRL,USD,0.32214477,Banco Central do Brasil PTAX monthly average closing sell rate; source quote BRL per USD inverted to BRL-to-USD
2017-02-01,BRL,EUR,0.30247678,Banco Central do Brasil PTAX monthly average closing sell rate; source quote BRL per EUR inverted to BRL-to-EUR
2017-03-01,BRL,USD,0.3197002,Banco Central do Brasil PTAX monthly average closing sell rate; source quote BRL per USD inverted to BRL-to-USD
2017-03-01,BRL,EUR,0.2989797,Banco Central do Brasil PTAX monthly average closing sell rate; source quote BRL per EUR inverted to BRL-to-EUR
2017-04-01,BRL,USD,0.31886004,Banco Central do Brasil PTAX monthly average closing sell rate; source quote BRL per USD inverted to BRL-to-USD
2017-04-01,BRL,EUR,0.29740956,Banco Central do Brasil PTAX monthly average closing sell rate; source quote BRL per EUR inverted to BRL-to-EUR
2017-05-01,BRL,USD,0.31157413,Banco Central do Brasil PTAX monthly average closing sell rate; source quote BRL per USD inverted to BRL-to-USD
2017-05-01,BRL,EUR,0.28159063,Banco Central do Brasil PTAX monthly average closing sell rate; source quote BRL per EUR inverted to BRL-to-EUR
2017-06-01,BRL,USD,0.30345637,Banco Central do Brasil PTAX monthly average closing sell rate; source quote BRL per USD inverted to BRL-to-USD
2017-06-01,BRL,EUR,0.27000825,Banco Central do Brasil PTAX monthly average closing sell rate; source quote BRL per EUR inverted to BRL-to-EUR
2017-07-01,BRL,USD,0.31190172,Banco Central do Brasil PTAX monthly average closing sell rate; source quote BRL per USD inverted to BRL-to-USD
2017-07-01,BRL,EUR,0.27075044,Banco Central do Brasil PTAX monthly average closing sell rate; source quote BRL per EUR inverted to BRL-to-EUR
2017-08-01,BRL,USD,0.31736789,Banco Central do Brasil PTAX monthly average closing sell rate; source quote BRL per USD inverted to BRL-to-USD
